,en,zh
8200,Please keep me informed.,请通知我。
19332,What is the matter with your car?,你的车子怎么了?
20204,The bank is not open on Saturdays.,银行星期六不营业。
6352,She has a pretty doll.,她有个漂亮的洋娃娃。
5638,We have two children.,我们有两个孩子。
2075,What's with you?,你怎么了？
8141,Let me introduce myself.,请允许我自我介绍一下。
21830,I can't stand that noise any longer.,我不能再忍受那噪音了。
9098,I must do that carefully.,我必须仔细做。
2916,I had lost my pen.,我把我的钢笔弄丢了。
10454,She wept the entire night.,她一整晚都在哭。
1418,"Louder, please.",请大声一点。
7565,Will you wait a minute?,麻烦您等一下。
17703,She has a very open personality.,她是个很坦率的人。
10993,He is an expert at fishing.,他是个捕鱼好手。
6657,Will you stay at home?,你会待在家吗？
10168,I think you look like Tom.,我看你长得像汤姆。
10755,What's wrong with my legs?,我的腿有什么毛病？
24365,Science begins when you ask why and how.,为何如何？你疑问的当下就是科学的开端。
21191,She was reading a gardening manual.,她正在读一本园艺手册。
25069,Can you put some suntan lotion on my back?,你能在我的背上涂些防晒霜吗？
115,I resign.,我放弃。
10385,People are counting on us.,人们正在依赖着我们。
22347,You ought to have come to our party.,你应该到我们的派对的。
22413,Do you know if she can speak English?,你知道她是否会讲英语吗？
20820,I felt something moving on my back.,我感到背上有东西动。
26137,He was considered very qualified for the job.,人们认为，他完全能胜任这个工作。
21672,Are you going to attend the meeting?,你要参加会议吗？
24980,Tom was the only boy in the entire class.,汤姆是班里唯一的男生。
20241,The suspect is a caucasian female.,嫌疑人是一位白人女性。
12028,He doesn't know how to swim.,他不会游泳。
13589,Is there anything in the box?,盒子里有任何东西吗?
9807,Are you free this weekend?,这个周末你有时间吗？
24896,There are only three women in this class.,这个班只有三个女生。
27541,I couldn't prevent Tom from eating all the cookies.,我阻止不了汤姆吃光饼干。
23887,Rabbits have long ears and short tails.,兔子长着长长的耳朵和短短的尾巴。
28248,There are too many people here. Let's go somewhere else.,这里人太多了。咱们换个地方吧。
1554,Who's that guy?,那家伙是谁？
15530,Are you going to the gym today?,你今天去不去健身房？
24599,A boat suddenly appeared out of the mist.,一艘船突然从雾中出现。
24947,Tom has a lot of experience in computers.,汤姆对电脑有很多经验。
28148,There is a good chance that gasoline prices will go up.,油价上涨的可能性很高。
22143,The rich sometimes despise the poor.,富人有时会看不起穷人。
21906,I spent last Sunday reading a novel.,我上周日花时间看了一本小说。
88,Back off!,往后退点。
11031,He's writing a long letter.,他写长信。
10443,She traveled around Japan.,她环游了日本。
15242,Tom doesn't even know my name.,汤姆甚至不知道我的名字。
24407,The boat was piloted safely into harbor.,船被安全地领入港口。
15303,Tom wants me to join his team.,汤姆希望我加入他的团队。
3070,Life is very hard.,人生良苦。
10880,Can you guess how old I am?,你能猜到我的年龄吗？
18049,We've got to have determination.,我们要下决心了。
13270,He was opposed to monopolies.,他曾经反对垄断。
16404,She gets good marks in English.,她英语成绩很好。
20684,He must have taken the wrong train.,他一定是搭错火车了。
6481,This work doesn't pay.,这份工作不付钱的。
23838,It was lucky for you that you found it.,你很幸运找到了它。
22597,I'm always forgetting people's names.,我总是忘记别人的名字。
17291,I almost didn't visit Australia.,我差点没去澳大利亚。
776,Open the box.,打开箱子。
28409,This is the place where the battle of Hastings took place.,这里曾是黑斯廷斯战役的战场。
8058,I'm already over thirty.,我已经三十多了。
939,I can't do it.,我做不到。
9845,Did you go out last night?,你昨天晚上出去了吗？
12675,Some students stayed behind.,一些学生留下了。
13709,Say which one you would like.,说你想要哪个。
25038,You had better be careful not to overeat.,你最好小心不要吃过量。
11389,My father stopped drinking.,父亲戒酒了。
22622,"If possible, I'd like to go home now.","如果可以的话, 我现在就想回家。"
4397,I like dragon fruit.,我喜欢火龙果。
20569,Could you come and see me tomorrow?,你明天可以来看我吗？
30,Ask Tom.,去问汤姆。
12520,Lincoln set the slaves free.,林肯释放了奴隶。
24787,It was in Beijing that I studied Chinese.,我是在北京学的中文。
5043,He had a hungry look.,他面有饥色
16096,I want to drink something cold.,我想喝点冷饮。
12230,I got this bicycle for free.,我免费得到了这辆自行车。
7136,Let's cross the street.,我们过马路吧。
2174,Do you need help?,你需要帮助吗？
5954,He must be over sixty.,他应该超过六十岁了。
2984,I washed my hands.,我洗手了。
